"";"Disease";"OBStartDate";"Species";"Year";"Longitude";"Latitude"
"1";"Beaver_case";2006-08-18;"Beaver";2006;9,6975507401153;61,9376915329234
"2";"Beaver_case";2006-08-18;"Beaver";2006;9,81728309081722;61,8537190854565
"3";"Beaver_case";2006-08-18;"Beaver";2006;6,5012615926852;59,9494221741976
"4";"Beaver_case";2006-08-18;"Beaver";2006;9,14196409399926;61,460579817489
"5";"Beaver_case";2006-08-18;"Beaver";2006;9,83753142660366;61,7532141659699
"6";"Beaver_case";2006-08-18;"Beaver";2006;7,0440300981624;59,7913685842991
"7";"Beaver_case";2006-08-18;"Beaver";2006;9,68895629159391;61,558915114332
"8";"Beaver_case";2006-08-18;"Beaver";2006;6,77941372739929;60,0475059270574
"9";"Beaver_case";2006-08-18;"Beaver";2006;5,04548191159859;61,7170510359871
"10";"Beaver_case";2006-08-18;"Beaver";2006;10,6020767199445;61,285674223398
"11";"Beaver_case";2006-08-18;"Beaver";2006;5,65418373070302;60,3954479062353
"12";"Beaver_case";2006-08-23;"Beaver";2006;5,62506884697414;59,5626276849592
"13";"Beaver_case";2006-08-24;"Beaver";2006;7,54223050287357;60,9267577831687
"14";"Beaver_case";2006-08-23;"Beaver";2006;10,5846202227875;61,3310328577579
"15";"Beaver_case";2006-08-23;"Beaver";2006;7,9993175489122;60,8870674140379
"16";"Beaver_case";2006-08-23;"Beaver";2006;6,3271165058014;61,2953952369123
"17";"Beaver_case";2006-08-21;"Beaver";2006;5,93611247357275;59,6534097320237
"18";"Beaver_case";2006-08-23;"Beaver";2006;6,59815038466677;59,9915461344819
"19";"Beaver_case";2006-08-22;"Beaver";2006;6,33670199333103;60,0538738425195
"20";"Beaver_case";2006-08-22;"Beaver";2006;9,09016821694446;61,4807193479697
"21";"Beaver_case";2006-08-22;"Beaver";2006;9,07102476927214;61,3138848475549
"22";"Beaver_case";2006-08-19;"Beaver";2006;7,30165757520324;60,881546781757
"23";"Beaver_case";2006-08-19;"Beaver";2006;5,5135647801448;60,4227290872712
"24";"Beaver_case";2006-08-21;"Beaver";2006;8,20999061909449;61,6833732148057
